University,Faculty,Faculty Leader Name,Faculty Leader Contact,Year,Person Number,Person Name,Person Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,1st Year,Person 1,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,1st Year,Person 2,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,1st Year,Person 3,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,1st Year,Person 4,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,1st Year,Person 5,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,2nd Year,Person 1,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,2nd Year,Person 2,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,2nd Year,Person 3,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,2nd Year,Person 4,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,2nd Year,Person 5,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,3rd Year,Person 1,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,3rd Year,Person 2,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,3rd Year,Person 3,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,3rd Year,Person 4,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,3rd Year,Person 5,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,4th Year,Person 1,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,4th Year,Person 2,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,4th Year,Person 3,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,4th Year,Person 4,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,4th Year,Person 5,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,5th Year,Person 1,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,5th Year,Person 2,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,5th Year,Person 3,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,5th Year,Person 4,Name,Contact
Cairo University,Faculty of Medicine,LeaderName,LeaderContact,5th Year,Person 5,Name,Contact
Cairo University,Faculty of Dentistry,LeaderName,LeaderContact,1st Year,Person 1,Name,Contact
Cairo University,Faculty of Dentistry,LeaderName,LeaderContact,1st Year,Person 2,Name,Contact
Cairo University,Faculty of Dentistry,LeaderName,LeaderContact,1st Year,Person 3,Name,Contact
Cairo University,Faculty of Dentistry,LeaderName,LeaderContact,1st Year,Person 4,Name,Contact
Cairo University,Faculty of Dentistry,LeaderName,LeaderContact,1st Year,Person 5,Name,Contact
Cairo University,Faculty of Dentistry,LeaderName,LeaderContact,2nd Year,Person 1,Name,Contact
